审批名称,单据类型,优先级,适用系统,申请人条件,一级,二级,三级,四级,五级
天津-销售-立项,,,立项系统,部门:天津^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
山西-二级部门经理-立项,,1,立项系统,部门:山西^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
山西-销售-立项,,,立项系统,部门:山西^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
宁夏-销售-立项,,1,立项系统,部门:宁夏^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
宁夏-二级部门经理-立项,,,立项系统,部门:宁夏^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
甘肃-二级部门经理-立项,,1,立项系统,部门:甘肃^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
甘肃-销售-立项,,,立项系统,部门:甘肃^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
新疆-二级部门经理-立项,,1,立项系统,部门:新疆^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
新疆-销售-立项,,1,立项系统,部门:新疆^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
重庆-销售-立项,,1,立项系统,部门:重庆^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
重庆-二级部门经理-立项,,1,立项系统,部门:重庆^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
贵州-销售-立项,,1,立项系统,部门:贵州^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
贵州-二级部门经理-立项,,1,立项系统,部门:贵州^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
云南-销售-立项,,1,立项系统,部门:云南^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
云南-二级部门经理-立项,,1,立项系统,部门:云南^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
广西-销售-立项,,1,立项系统,部门:广西^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
广西-二级部门经理-立项,,1,立项系统,部门:广西^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
湖北-销售-立项,,1,立项系统,部门:湖北^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
湖北-二级部门经理-立项,,1,立项系统,部门:湖北^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
湖南-销售-立项,,1,立项系统,部门:湖南^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
湖南-二级部门经理-立项,,1,立项系统,部门:湖南^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
黑龙江-销售-立项,,1,立项系统,部门:黑龙江^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
黑龙江-二级部门经理-立项,,1,立项系统,部门:黑龙江^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
吉林-销售-立项,,1,立项系统,部门:吉林^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
吉林-二级部门经理-立项,,1,立项系统,部门:吉林^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
辽宁-销售-立项,,1,立项系统,部门:辽宁^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
辽宁-二级部门经理-立项,,1,立项系统,部门:辽宁^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
内蒙-销售-立项,,1,立项系统,部门:内蒙^岗位名称:销售,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
内蒙-二级部门经理-立项,,1,立项系统,部门:辽内蒙^岗位名称:区域经理,部门:营销中心管理部^岗位级别:一级部门总经理,编码:vrv070074,*岗位级别:一级部门总经理,,
