KR-20090160,TCC Maintenance,20,AM
CN-20090047,SK Enclean Portal-09-4,20,AM
CN-20090049,RIM Monitering-skcc-3,30,RIM
CC-20090022,General Management - Telecom,80,CC
CC-20090025,EM ART Proposal,80,CC
CC-20090024,Developers pool,80,CC
CC-20090023,HR&amp;MM Management,80,CC
CN-20090052,RIM Monitoring-SKCC-5,30,RIM
CN-20090053,HR System Building (SKE),60,SI(AD)
CN-20090054,HR System Building (SKC),50,SI(HW/SW)
CN-20090055,SK China HRMS,10,AD
CN-20090056,SK Energy China HRMS,10,AD
CN-20090062,RIM Monitoring_SKCC_June,30,RIM
KR-20090231,GDC M.I,10,AD
KR-20090234,SKT online products sales,10,AD
KR-20090248,SKC HAAS Implementation-2,20,AM
KR-20090250,Enclean DW 운영_09_SK에너지,20,AM
KR-20090252,SKN 09 MIS(s)_EM사업관리,20,AM
KR-20090253,SKN 09 MIS(o)_EM사업관리,20,AM
CN-20090059,ITO OIM For SK China,90,OIM
CN-20090060,ITO OIM For SK Energy,90,OIM
CN-20090061,ITO OIM For SK Telecom,90,OIM
CN-20090057,ITS,10,AD
CN-20090063,Building Management System (HW/SW),50,SI(HW/SW)
CN-20090064,Building Mangement System (Service),60,SI(AD)
KR-20090256,SK건설-MIS_경영지원 - 09,20,AM
KR-20090249,SK건설-MIS_사업관리-09,20,AM
KR-20090243,SKT External information function,10,AD
KR-20090282,SKT nonpayment consultation a system,10,AD
CN-20090065,SK Building 23F TFT Construction,50,SI(HW/SW)
CN-20090066,RIM Monitoring - SKCC-July,30,RIM
KR-20090397,FWK 및 자동화 도구 개발 및 개선(단위테스트 자동화도구 개발),20,AM
KR-20090268,(268)SK에너지 MIS 경영지원 개선,20,AM
KR-20090266,SK 엔크린 포탈-09,20,AM
KR-20090244,SK Gas 09-MIS_ Retail / Sales / Logistics Manageme,20,AM
KR-20090260,09-SK Energy security control operations,20,AM
KR-20090261,09-Security control operations,20,AM
KR-20090259,09-Security control   operations,20,AM
KR-20090257,2009년 보안관제 운영,20,AM
KR-20090263,SK Telesys IT,20,AM
KR-20090317,CPinformation utilization,10,AD
KR-20090315,WIBRO  business computer development,10,AD
KR-20090328,SKT Msubmit a bill improvement reissue incarnation,10,AD
KR-20090309,nonpartisanship business a monitor system building,10,AD
KR-20090338,SKT patronage information application  strengthe,10,AD
KR-20090360,SKT U.key structureadvanced,10,AD
KR-20090318,lessor and lessee official a process improvement,10,AD
KR-20090342,SKT Ukey relief altitude Appl. power improvement,10,AD
KR-20090311,CSpar and ventilation a government official,10,AD
CN-20090067,SK Building 23F Construction(SK GAS),50,SI(HW/SW)
KR-20090371,SKT Real-time IP Mediation Improvements,10,AD
KR-20090331,SKT roming and usury construction,10,AD
KR-20090359,SKT F fare  development,10,AD
KR-20090334,SKT nonpayment monitor usury altitude development,10,AD
KR-20090271,SKB Easy chrous lite,10,AD
KR-20090336,SKT nonpayment consultation channel altitude,10,AD
KR-20090333,SKT Account service officialdom  systematic  build,10,AD
KR-20090335,SKTtermination bond aerated water process ealizati,10,AD
KR-20090337,SkT nonpayment counsel system altitude,10,AD
KR-20090355,SKT taxpayer/bond officialdom process building,10,AD
KR-20090310,SKTnumber rambling  a process,10,AD
KR-20090330,on-line commonness joining wire commoditiesdevelo,10,AD
KR-20090369,SKT Sales material management system Development,10,AD
KR-20090233,Custom COC POS station to improve,10,AD
KR-20090391,SKN 정보통신유통사업부문 영업시스템 재구축 2차,20,AM
CN-20090068,SKT China SSO,60,SI(AD)
KR-20090394,(394)SK건설-MIS_인사_09,20,AM
KR-20090383,SKLMS-09,20,AM
KR-20090258,SK energy security environmental health operat,20,AM
KR-20090264,(0264)SK 엔크린 포탈-09,20,AM
KR-20090270,(270)POS프로젝트2009_SKN,20,AM
KR-20090288,SK건설-MIS__사업관리-09,20,AM
KR-20090289,(289)SK건설-MIS_경영지원-09,20,AM
KR-20090303,화물정보망 기능 고도화,10,AD
KR-20090304,화물정보망_기능 고도화,10,AD
KR-20090344,SK에너지 울산CLX 생산 AM(2009),20,AM
KR-20090350,Enclean DW 운영_09__SK에너지,20,AM
